blind_id,case_id,arm,source_file
SC16409,cheslock-1960-ocr,asta,cheslock-1960-ocr__asta
SCE9652,cheslock-1960-ocr,paperclip,cheslock-1960-ocr__paperclip
S0B0773,famulare-2018-plosbio,asta,famulare-2018-plosbio__asta
SE343D7,famulare-2018-plosbio,paperclip,famulare-2018-plosbio__paperclip
S29F6FD,heldout-hepc-ns5a,asta,heldout-hepc-ns5a__asta
S23C570,heldout-hepc-ns5a,paperclip,heldout-hepc-ns5a__paperclip
S1966E1,heldout-podoconiosis,asta,heldout-podoconiosis__asta
S18EC95,heldout-podoconiosis,paperclip,heldout-podoconiosis__paperclip
SE3A2D7,heldout-snakebite,asta,heldout-snakebite__asta
S250FE1,heldout-snakebite,paperclip,heldout-snakebite__paperclip
SEDEDAE,heldout-tafamidis-attr,asta,heldout-tafamidis-attr__asta
S775CA6,heldout-tafamidis-attr,paperclip,heldout-tafamidis-attr__paperclip
SAF4A28,heldout-tbe-vaccine,asta,heldout-tbe-vaccine__asta
S2423B8,heldout-tbe-vaccine,paperclip,heldout-tbe-vaccine__paperclip
S73C938,hornick-typhoid,asta,hornick-typhoid__asta
SC45AD2,hornick-typhoid,paperclip,hornick-typhoid__paperclip
SB8A747,kew-2005-opv-review,asta,kew-2005-opv-review__asta
SD38731,kew-2005-opv-review,paperclip,kew-2005-opv-review__paperclip
S421DA7,khoury-2021-natmed,asta,khoury-2021-natmed__asta
S70F0A1,khoury-2021-natmed,paperclip,khoury-2021-natmed__paperclip
S58B4A7,nct04232943-pmid36746739,asta,nct04232943-pmid36746739__asta
SF1B8AE,nct04232943-pmid36746739,paperclip,nct04232943-pmid36746739__paperclip
SF85944,nigeria-2015-versioning,asta,nigeria-2015-versioning__asta
S77286F,nigeria-2015-versioning,paperclip,nigeria-2015-versioning__paperclip
S2FEDA9,sfs-nejm-2020,asta,sfs-nejm-2020__asta
SD9EB5C,sfs-nejm-2020,paperclip,sfs-nejm-2020__paperclip
SA5099E,thakkar-famulare-arxiv,asta,thakkar-famulare-arxiv__asta
SEAA4F8,thakkar-famulare-arxiv,paperclip,thakkar-famulare-arxiv__paperclip
